fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00984,0.00965,0.9363,0.00046,2.8623,0.77691,6.94898,0.5209,1.64089,0.0134,0.81483,0.39508,0.0,0.10425,0.48285,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00714,0.00713,0.79616,0.0005,2.57721,0.56329,5.2961,0.46821,1.54507,0.0134,0.9,0.39026,0.0,0.0923,0.51161,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01053,0.01042,0.94146,0.00051,2.93172,0.83566,7.17849,0.50003,1.40593,0.01723,0.7,0.40779,0.0,0.1,0.48413,0.0,0.0,0.0,0.48881,0.0,0.97465,0.0,0.0
0.0,0.01228,0.00911,0.9363,0.00037,2.86291,0.70032,7.80623,0.58524,1.45283,0.01341,0.85753,0.39508,0.0,0.10266,0.48285,0.0,0.0,0.0,0.52135,0.0,0.98544,0.0,0.0
0.0,0.00911,0.01,0.9309,0.00051,2.73988,0.8667,8.05766,0.49176,1.64549,0.01396,0.7423,0.45401,0.0,0.08789,0.35364,0.0,0.0,0.0,0.46179,0.0,1.0,0.0,0.0
0.0,0.00941,0.00895,0.95742,0.00046,2.8623,0.7883,6.94898,0.5209,1.55246,0.0134,0.83412,0.39508,0.0,0.10425,0.46835,0.0,0.0,0.0,0.51728,0.0,1.0,0.0,0.0
0.0,0.01104,0.01022,0.94477,0.00051,2.83066,0.73132,7.46762,0.47289,1.2688,0.01425,0.7,0.374,0.0,0.09422,0.5,0.0,0.0,0.0,0.4639,0.0,0.96369,0.0,0.0
0.0,0.01,0.00966,0.8503,0.00061,2.62954,0.80759,7.5,0.54501,1.20161,0.01233,0.66905,0.3139,0.0,0.1,0.49465,0.0,0.0,0.0,0.48791,0.0,0.90551,0.0,0.0
0.0,0.01228,0.01132,0.94794,0.00037,3.29616,0.70032,7.80623,0.55429,1.51657,0.01341,0.9,0.4964,0.0,0.11198,0.45017,0.0,0.0,0.0,0.52251,0.0,0.98544,0.0,0.0
0.0,0.00978,0.00974,0.93016,0.00047,2.95011,0.77691,6.57295,0.5093,1.56212,0.01362,0.82354,0.39508,0.0,0.1057,0.49092,0.0,0.0,0.0,0.5182,0.0,1.0,0.0,0.0
0.0,0.01014,0.00961,0.97051,0.00041,2.85758,0.8,6.49241,0.49888,1.46102,0.015,0.50852,0.35809,0.0,0.09868,0.55858,0.0,0.0,0.0,0.37497,0.0,0.90169,0.0,0.0
